text,label
C-118652 PartyA_198 PartyB_300,MediumRisk
C-111089 PartyA_14 PartyB_131,HighRisk
C-114913 PartyA_82 PartyB_231,MediumRisk
C-118940 PartyA_8 PartyB_13,MediumRisk
C-113373 PartyA_13 PartyB_201,LowRisk
C-108105 PartyA_138 PartyB_22,MediumRisk
C-107100 PartyA_159 PartyB_36,MediumRisk
C-114164 PartyA_201 PartyB_201,MediumRisk
C-120365 PartyA_247 PartyB_211,HighRisk
C-108629 PartyA_245 PartyB_199,MediumRisk
C-123998 PartyA_164 PartyB_285,LowRisk
C-109414 PartyA_218 PartyB_272,MediumRisk
C-113227 PartyA_238 PartyB_40,MediumRisk
C-112998 PartyA_89 PartyB_34,HighRisk
C-123212 PartyA_20 PartyB_259,MediumRisk
C-121692 PartyA_117 PartyB_201,MediumRisk
C-122026 PartyA_140 PartyB_5,HighRisk
C-109586 PartyA_236 PartyB_90,MediumRisk
C-120081 PartyA_4 PartyB_290,MediumRisk
C-110854 PartyA_45 PartyB_97,MediumRisk
C-112053 PartyA_77 PartyB_137,MediumRisk
C-113717 PartyA_182 PartyB_168,MediumRisk
C-106350 PartyA_110 PartyB_9,MediumRisk
C-112408 PartyA_283 PartyB_126,HighRisk
C-122165 PartyA_294 PartyB_280,HighRisk
C-123399 PartyA_116 PartyB_71,MediumRisk
C-112441 PartyA_115 PartyB_54,MediumRisk
C-104671 PartyA_291 PartyB_41,HighRisk
C-101837 PartyA_38 PartyB_7,MediumRisk
C-119793 PartyA_184 PartyB_85,HighRisk
C-102778 PartyA_282 PartyB_168,MediumRisk
C-110001 PartyA_6 PartyB_205,MediumRisk
C-123065 PartyA_227 PartyB_81,MediumRisk
C-100049 PartyA_197 PartyB_79,HighRisk
C-119385 PartyA_127 PartyB_83,LowRisk
C-123730 PartyA_82 PartyB_240,MediumRisk
C-116368 PartyA_268 PartyB_215,MediumRisk
C-118403 PartyA_105 PartyB_89,MediumRisk
C-122544 PartyA_163 PartyB_202,HighRisk
C-118175 PartyA_180 PartyB_218,HighRisk
C-122142 PartyA_15 PartyB_60,LowRisk
C-117859 PartyA_131 PartyB_18,MediumRisk
C-119718 PartyA_72 PartyB_68,MediumRisk
C-111167 PartyA_236 PartyB_49,MediumRisk
C-119043 PartyA_189 PartyB_250,MediumRisk
C-110495 PartyA_269 PartyB_96,MediumRisk
C-101394 PartyA_230 PartyB_222,LowRisk
C-115022 PartyA_120 PartyB_289,MediumRisk
C-113868 PartyA_25 PartyB_3,MediumRisk
C-118831 PartyA_275 PartyB_122,MediumRisk
C-109303 PartyA_181 PartyB_54,MediumRisk
C-117184 PartyA_58 PartyB_277,MediumRisk
C-108404 PartyA_35 PartyB_36,MediumRisk
C-119786 PartyA_300 PartyB_299,MediumRisk
C-104680 PartyA_100 PartyB_234,MediumRisk
C-116293 PartyA_94 PartyB_109,HighRisk
C-114299 PartyA_184 PartyB_240,MediumRisk
C-108773 PartyA_261 PartyB_102,MediumRisk
C-111105 PartyA_296 PartyB_51,MediumRisk
C-104859 PartyA_121 PartyB_271,MediumRisk
C-111770 PartyA_24 PartyB_230,MediumRisk
C-116008 PartyA_75 PartyB_41,MediumRisk
C-108570 PartyA_139 PartyB_90,HighRisk
C-103698 PartyA_280 PartyB_240,MediumRisk
C-110227 PartyA_229 PartyB_46,MediumRisk
C-103451 PartyA_229 PartyB_123,MediumRisk
C-116168 PartyA_153 PartyB_112,MediumRisk
C-114046 PartyA_68 PartyB_112,HighRisk
C-123286 PartyA_63 PartyB_191,MediumRisk
C-101557 PartyA_51 PartyB_67,MediumRisk
C-114987 PartyA_288 PartyB_170,LowRisk
C-121810 PartyA_226 PartyB_272,MediumRisk
C-110879 PartyA_87 PartyB_113,LowRisk
C-123680 PartyA_83 PartyB_48,HighRisk
C-123006 PartyA_123 PartyB_259,MediumRisk
C-120535 PartyA_233 PartyB_259,HighRisk
C-116916 PartyA_141 PartyB_11,LowRisk
C-107660 PartyA_28 PartyB_235,MediumRisk
C-108094 PartyA_241 PartyB_137,HighRisk
C-121118 PartyA_284 PartyB_54,MediumRisk
C-121864 PartyA_140 PartyB_70,LowRisk
C-118132 PartyA_218 PartyB_205,MediumRisk
C-106306 PartyA_211 PartyB_254,HighRisk
C-105948 PartyA_253 PartyB_204,MediumRisk
C-103949 PartyA_166 PartyB_97,MediumRisk
C-118597 PartyA_156 PartyB_193,MediumRisk
C-119421 PartyA_188 PartyB_190,MediumRisk
C-111682 PartyA_136 PartyB_100,MediumRisk
C-110747 PartyA_89 PartyB_299,MediumRisk
C-102157 PartyA_65 PartyB_16,MediumRisk
C-116629 PartyA_119 PartyB_149,MediumRisk
C-122218 PartyA_261 PartyB_54,MediumRisk
C-101570 PartyA_95 PartyB_48,MediumRisk
C-123972 PartyA_176 PartyB_296,MediumRisk
C-117896 PartyA_48 PartyB_294,MediumRisk
C-105885 PartyA_1 PartyB_232,HighRisk
C-105507 PartyA_223 PartyB_80,MediumRisk
C-118187 PartyA_216 PartyB_278,MediumRisk
C-116759 PartyA_54 PartyB_239,HighRisk
C-119144 PartyA_59 PartyB_213,LowRisk
C-102814 PartyA_81 PartyB_220,MediumRisk
C-106271 PartyA_195 PartyB_56,HighRisk
C-101697 PartyA_175 PartyB_208,MediumRisk
C-106836 PartyA_164 PartyB_8,HighRisk
C-111288 PartyA_233 PartyB_91,MediumRisk
C-123060 PartyA_246 PartyB_191,MediumRisk
C-105751 PartyA_79 PartyB_199,MediumRisk
C-121090 PartyA_8 PartyB_95,MediumRisk
C-117365 PartyA_218 PartyB_135,HighRisk
C-112050 PartyA_73 PartyB_49,MediumRisk
C-101066 PartyA_194 PartyB_56,HighRisk
C-101989 PartyA_173 PartyB_82,MediumRisk
C-115800 PartyA_250 PartyB_168,MediumRisk
C-118599 PartyA_128 PartyB_211,MediumRisk
C-109547 PartyA_271 PartyB_141,MediumRisk
C-119905 PartyA_5 PartyB_79,MediumRisk
C-123601 PartyA_110 PartyB_77,LowRisk
C-102439 PartyA_197 PartyB_242,MediumRisk
C-114048 PartyA_164 PartyB_264,LowRisk
C-113175 PartyA_205 PartyB_292,MediumRisk
C-111491 PartyA_180 PartyB_289,LowRisk
C-119739 PartyA_86 PartyB_270,MediumRisk
C-107713 PartyA_255 PartyB_225,MediumRisk
C-103379 PartyA_11 PartyB_92,MediumRisk
C-122770 PartyA_150 PartyB_281,HighRisk
C-124430 PartyA_53 PartyB_31,MediumRisk
C-102782 PartyA_295 PartyB_238,MediumRisk
C-106232 PartyA_22 PartyB_90,MediumRisk
C-124645 PartyA_243 PartyB_124,MediumRisk
C-107563 PartyA_148 PartyB_299,MediumRisk
C-114652 PartyA_235 PartyB_7,MediumRisk
C-113677 PartyA_254 PartyB_65,MediumRisk
C-103934 PartyA_241 PartyB_106,MediumRisk
C-112770 PartyA_245 PartyB_117,MediumRisk
C-109057 PartyA_266 PartyB_21,MediumRisk
C-102039 PartyA_205 PartyB_274,LowRisk
C-120204 PartyA_12 PartyB_65,MediumRisk
C-102360 PartyA_188 PartyB_110,MediumRisk
C-122130 PartyA_158 PartyB_82,MediumRisk
C-115137 PartyA_19 PartyB_17,MediumRisk
C-116501 PartyA_26 PartyB_158,MediumRisk
C-112210 PartyA_229 PartyB_49,MediumRisk
C-105567 PartyA_131 PartyB_211,MediumRisk
C-101964 PartyA_206 PartyB_153,HighRisk
C-115165 PartyA_53 PartyB_195,HighRisk
C-118567 PartyA_86 PartyB_68,MediumRisk
C-105015 PartyA_145 PartyB_177,MediumRisk
C-109722 PartyA_202 PartyB_99,MediumRisk
C-114951 PartyA_215 PartyB_170,MediumRisk
C-111266 PartyA_263 PartyB_229,HighRisk
C-118664 PartyA_290 PartyB_115,MediumRisk
C-106669 PartyA_165 PartyB_288,LowRisk
C-116208 PartyA_148 PartyB_226,HighRisk
C-113530 PartyA_1 PartyB_211,MediumRisk
C-107885 PartyA_234 PartyB_99,HighRisk
C-109140 PartyA_294 PartyB_147,MediumRisk
C-119824 PartyA_111 PartyB_93,HighRisk
C-105673 PartyA_157 PartyB_281,MediumRisk
C-109070 PartyA_177 PartyB_25,MediumRisk
C-111808 PartyA_24 PartyB_247,MediumRisk
C-105288 PartyA_177 PartyB_263,HighRisk
C-122552 PartyA_270 PartyB_235,HighRisk
C-119602 PartyA_283 PartyB_63,MediumRisk
C-103287 PartyA_55 PartyB_16,MediumRisk
C-110144 PartyA_252 PartyB_114,MediumRisk
C-106936 PartyA_283 PartyB_212,MediumRisk
C-116808 PartyA_78 PartyB_90,MediumRisk
C-121480 PartyA_228 PartyB_90,HighRisk
C-112292 PartyA_138 PartyB_258,MediumRisk
C-115825 PartyA_166 PartyB_299,MediumRisk
C-113075 PartyA_202 PartyB_198,LowRisk
C-116893 PartyA_75 PartyB_68,MediumRisk
C-111020 PartyA_102 PartyB_228,MediumRisk
C-100083 PartyA_148 PartyB_225,HighRisk
C-123434 PartyA_52 PartyB_251,MediumRisk
C-107775 PartyA_142 PartyB_189,MediumRisk
C-119489 PartyA_191 PartyB_43,LowRisk
C-114007 PartyA_190 PartyB_299,HighRisk
C-105191 PartyA_190 PartyB_33,HighRisk
C-114690 PartyA_195 PartyB_168,MediumRisk
C-101253 PartyA_291 PartyB_157,HighRisk
C-104900 PartyA_141 PartyB_8,MediumRisk
C-114107 PartyA_188 PartyB_29,HighRisk
C-118578 PartyA_31 PartyB_107,MediumRisk
C-114428 PartyA_80 PartyB_21,HighRisk
C-110469 PartyA_277 PartyB_239,MediumRisk
C-116255 PartyA_126 PartyB_134,LowRisk
C-102046 PartyA_136 PartyB_149,MediumRisk
C-107826 PartyA_159 PartyB_174,MediumRisk
C-112165 PartyA_193 PartyB_224,MediumRisk
C-118053 PartyA_86 PartyB_197,MediumRisk
C-121453 PartyA_46 PartyB_148,MediumRisk
C-115287 PartyA_129 PartyB_203,HighRisk
C-120841 PartyA_168 PartyB_238,HighRisk
C-114012 PartyA_249 PartyB_164,MediumRisk
C-121280 PartyA_123 PartyB_189,HighRisk
C-106123 PartyA_199 PartyB_294,HighRisk
C-113950 PartyA_29 PartyB_25,MediumRisk
C-119713 PartyA_223 PartyB_146,HighRisk
C-122170 PartyA_122 PartyB_237,MediumRisk
C-118244 PartyA_118 PartyB_156,HighRisk
C-104116 PartyA_242 PartyB_37,HighRisk
C-103059 PartyA_93 PartyB_24,MediumRisk
C-124647 PartyA_58 PartyB_191,MediumRisk
C-108103 PartyA_80 PartyB_128,MediumRisk
C-105031 PartyA_163 PartyB_46,MediumRisk
C-122900 PartyA_128 PartyB_160,HighRisk
C-110790 PartyA_51 PartyB_109,HighRisk
C-108688 PartyA_46 PartyB_233,HighRisk
C-103579 PartyA_39 PartyB_159,MediumRisk
C-108485 PartyA_298 PartyB_23,MediumRisk
C-106741 PartyA_290 PartyB_29,HighRisk
C-123187 PartyA_292 PartyB_21,HighRisk
C-112826 PartyA_70 PartyB_159,MediumRisk
C-113906 PartyA_39 PartyB_104,MediumRisk
C-109315 PartyA_187 PartyB_21,HighRisk
C-118558 PartyA_3 PartyB_244,LowRisk
C-117970 PartyA_220 PartyB_7,MediumRisk
C-118436 PartyA_174 PartyB_267,MediumRisk
C-124750 PartyA_73 PartyB_190,MediumRisk
C-121215 PartyA_126 PartyB_30,MediumRisk
C-109623 PartyA_273 PartyB_74,MediumRisk
C-113470 PartyA_61 PartyB_274,MediumRisk
C-103984 PartyA_201 PartyB_182,MediumRisk
C-104752 PartyA_84 PartyB_216,LowRisk
C-117655 PartyA_84 PartyB_28,MediumRisk
C-113410 PartyA_194 PartyB_25,LowRisk
C-124463 PartyA_143 PartyB_230,MediumRisk
C-102089 PartyA_294 PartyB_243,HighRisk
C-116443 PartyA_159 PartyB_45,LowRisk
C-107683 PartyA_5 PartyB_232,MediumRisk
C-107653 PartyA_93 PartyB_6,MediumRisk
C-118229 PartyA_232 PartyB_147,HighRisk
C-106015 PartyA_9 PartyB_112,MediumRisk
C-124464 PartyA_6 PartyB_188,MediumRisk
C-106647 PartyA_140 PartyB_66,HighRisk
C-120592 PartyA_35 PartyB_34,MediumRisk
C-110205 PartyA_92 PartyB_220,MediumRisk
C-104471 PartyA_10 PartyB_36,MediumRisk
C-114361 PartyA_274 PartyB_15,MediumRisk
C-108088 PartyA_48 PartyB_123,MediumRisk
C-108220 PartyA_58 PartyB_284,MediumRisk
C-104069 PartyA_241 PartyB_259,MediumRisk
C-117544 PartyA_100 PartyB_231,MediumRisk
C-119276 PartyA_28 PartyB_183,LowRisk
C-105176 PartyA_118 PartyB_17,LowRisk
C-108206 PartyA_185 PartyB_101,MediumRisk
C-117784 PartyA_187 PartyB_291,HighRisk
C-108833 PartyA_291 PartyB_232,MediumRisk
C-108829 PartyA_68 PartyB_262,MediumRisk
C-106590 PartyA_116 PartyB_99,MediumRisk
C-103580 PartyA_70 PartyB_162,MediumRisk
C-104254 PartyA_24 PartyB_11,MediumRisk
C-113672 PartyA_91 PartyB_238,MediumRisk
C-120690 PartyA_176 PartyB_116,MediumRisk
C-107912 PartyA_42 PartyB_165,MediumRisk
C-120542 PartyA_168 PartyB_162,MediumRisk
C-101194 PartyA_100 PartyB_9,MediumRisk
C-107964 PartyA_81 PartyB_245,HighRisk
C-115102 PartyA_217 PartyB_167,HighRisk
C-118151 PartyA_137 PartyB_242,MediumRisk
C-113925 PartyA_223 PartyB_184,MediumRisk
C-119221 PartyA_150 PartyB_22,MediumRisk
C-103975 PartyA_284 PartyB_62,MediumRisk
C-100196 PartyA_149 PartyB_22,HighRisk
C-101119 PartyA_144 PartyB_141,MediumRisk
C-113720 PartyA_45 PartyB_130,MediumRisk
C-113349 PartyA_72 PartyB_184,MediumRisk
C-108268 PartyA_67 PartyB_264,MediumRisk
C-112711 PartyA_181 PartyB_225,MediumRisk
C-109820 PartyA_150 PartyB_172,MediumRisk
C-112163 PartyA_283 PartyB_138,MediumRisk
C-121532 PartyA_22 PartyB_60,MediumRisk
C-106280 PartyA_239 PartyB_131,MediumRisk
C-118819 PartyA_251 PartyB_234,MediumRisk
C-120750 PartyA_110 PartyB_14,LowRisk
C-113987 PartyA_11 PartyB_144,MediumRisk
C-101588 PartyA_197 PartyB_113,MediumRisk
C-122501 PartyA_204 PartyB_204,HighRisk
C-115367 PartyA_12 PartyB_198,HighRisk
C-113352 PartyA_235 PartyB_31,MediumRisk
C-112417 PartyA_239 PartyB_104,HighRisk
C-101804 PartyA_99 PartyB_260,HighRisk
C-117875 PartyA_131 PartyB_258,MediumRisk
C-123224 PartyA_290 PartyB_143,MediumRisk
C-111290 PartyA_219 PartyB_277,MediumRisk
C-106812 PartyA_123 PartyB_100,MediumRisk
C-118056 PartyA_290 PartyB_120,MediumRisk
C-111255 PartyA_152 PartyB_243,MediumRisk
C-122731 PartyA_81 PartyB_127,HighRisk
C-103655 PartyA_163 PartyB_38,HighRisk
C-107167 PartyA_113 PartyB_39,MediumRisk
C-121743 PartyA_221 PartyB_108,HighRisk
C-101776 PartyA_293 PartyB_226,HighRisk
C-119326 PartyA_140 PartyB_146,MediumRisk
C-115785 PartyA_22 PartyB_236,MediumRisk
C-106797 PartyA_244 PartyB_81,HighRisk
C-123243 PartyA_206 PartyB_60,MediumRisk
C-123715 PartyA_214 PartyB_229,MediumRisk
C-106798 PartyA_256 PartyB_57,MediumRisk
C-104464 PartyA_124 PartyB_24,MediumRisk
C-119589 PartyA_142 PartyB_57,MediumRisk
C-112277 PartyA_16 PartyB_81,MediumRisk
C-123784 PartyA_38 PartyB_9,LowRisk
C-100285 PartyA_36 PartyB_272,HighRisk
C-108057 PartyA_63 PartyB_19,MediumRisk
C-118456 PartyA_247 PartyB_81,MediumRisk
C-123069 PartyA_294 PartyB_162,MediumRisk
C-119314 PartyA_105 PartyB_92,MediumRisk
C-114657 PartyA_31 PartyB_275,HighRisk
C-106230 PartyA_158 PartyB_35,MediumRisk
C-117516 PartyA_52 PartyB_287,MediumRisk
C-100549 PartyA_267 PartyB_255,MediumRisk
C-124469 PartyA_209 PartyB_107,LowRisk
C-115185 PartyA_74 PartyB_25,MediumRisk
C-102909 PartyA_76 PartyB_82,MediumRisk
C-123699 PartyA_208 PartyB_57,MediumRisk
C-121303 PartyA_242 PartyB_38,MediumRisk
C-123634 PartyA_181 PartyB_164,HighRisk
C-103048 PartyA_33 PartyB_10,MediumRisk
C-119764 PartyA_94 PartyB_227,MediumRisk
C-118235 PartyA_151 PartyB_253,HighRisk
C-103753 PartyA_157 PartyB_105,MediumRisk
C-112539 PartyA_293 PartyB_275,HighRisk
C-117460 PartyA_108 PartyB_249,HighRisk
C-104046 PartyA_185 PartyB_165,MediumRisk
C-115312 PartyA_267 PartyB_87,MediumRisk
C-123380 PartyA_63 PartyB_70,MediumRisk
C-101918 PartyA_188 PartyB_271,LowRisk
C-116262 PartyA_288 PartyB_46,MediumRisk
C-102452 PartyA_299 PartyB_81,HighRisk
C-101736 PartyA_48 PartyB_156,MediumRisk
C-101979 PartyA_15 PartyB_73,MediumRisk
C-121474 PartyA_182 PartyB_111,HighRisk
C-106902 PartyA_21 PartyB_178,MediumRisk
C-102067 PartyA_118 PartyB_188,MediumRisk
C-114498 PartyA_225 PartyB_63,HighRisk
C-119014 PartyA_28 PartyB_89,HighRisk
C-108761 PartyA_63 PartyB_226,MediumRisk
C-117523 PartyA_130 PartyB_271,MediumRisk
C-114898 PartyA_291 PartyB_110,HighRisk
C-122007 PartyA_226 PartyB_161,HighRisk
C-114675 PartyA_38 PartyB_123,HighRisk
C-108447 PartyA_32 PartyB_39,MediumRisk
C-121765 PartyA_208 PartyB_98,MediumRisk
C-104445 PartyA_296 PartyB_97,HighRisk
C-105893 PartyA_67 PartyB_237,MediumRisk
C-119435 PartyA_249 PartyB_278,MediumRisk
C-121654 PartyA_23 PartyB_255,MediumRisk
C-103061 PartyA_227 PartyB_129,HighRisk
C-116137 PartyA_46 PartyB_226,MediumRisk
C-104026 PartyA_217 PartyB_257,MediumRisk
C-124852 PartyA_27 PartyB_139,MediumRisk
C-121138 PartyA_299 PartyB_210,MediumRisk
C-104691 PartyA_278 PartyB_42,MediumRisk
C-116730 PartyA_97 PartyB_43,HighRisk
C-118780 PartyA_126 PartyB_195,HighRisk
C-115766 PartyA_241 PartyB_48,MediumRisk
C-124133 PartyA_238 PartyB_162,LowRisk
C-102919 PartyA_300 PartyB_175,MediumRisk
C-109485 PartyA_5 PartyB_222,MediumRisk
C-121073 PartyA_57 PartyB_63,LowRisk
C-119784 PartyA_140 PartyB_217,MediumRisk
C-110572 PartyA_38 PartyB_279,LowRisk
C-109864 PartyA_246 PartyB_112,MediumRisk
C-101693 PartyA_27 PartyB_138,MediumRisk
C-114840 PartyA_4 PartyB_158,MediumRisk
C-106362 PartyA_88 PartyB_98,HighRisk
C-109026 PartyA_184 PartyB_77,MediumRisk
C-115423 PartyA_275 PartyB_236,HighRisk
C-103624 PartyA_111 PartyB_233,MediumRisk
C-111866 PartyA_52 PartyB_262,MediumRisk
C-111403 PartyA_203 PartyB_37,MediumRisk
C-104456 PartyA_196 PartyB_75,MediumRisk
C-111752 PartyA_259 PartyB_56,MediumRisk
C-117804 PartyA_167 PartyB_54,MediumRisk
C-100686 PartyA_197 PartyB_231,MediumRisk
C-122554 PartyA_275 PartyB_299,MediumRisk
C-100349 PartyA_265 PartyB_192,MediumRisk
C-122922 PartyA_243 PartyB_136,MediumRisk
C-117472 PartyA_143 PartyB_39,HighRisk
C-103755 PartyA_122 PartyB_259,MediumRisk
C-123043 PartyA_225 PartyB_63,HighRisk
C-114836 PartyA_92 PartyB_4,MediumRisk
C-109507 PartyA_134 PartyB_261,MediumRisk
C-106755 PartyA_300 PartyB_268,HighRisk
C-107300 PartyA_29 PartyB_213,MediumRisk
C-112854 PartyA_276 PartyB_103,MediumRisk
C-105970 PartyA_75 PartyB_238,MediumRisk
C-105453 PartyA_260 PartyB_54,HighRisk
C-105230 PartyA_245 PartyB_42,HighRisk
C-118995 PartyA_82 PartyB_285,HighRisk
C-104021 PartyA_119 PartyB_222,MediumRisk
C-114659 PartyA_95 PartyB_11,MediumRisk
C-113486 PartyA_123 PartyB_94,MediumRisk
C-116880 PartyA_235 PartyB_143,MediumRisk
C-112560 PartyA_47 PartyB_183,MediumRisk
C-106228 PartyA_248 PartyB_235,MediumRisk
C-114503 PartyA_107 PartyB_75,MediumRisk
C-124251 PartyA_35 PartyB_243,LowRisk
C-114960 PartyA_207 PartyB_229,MediumRisk
C-102966 PartyA_179 PartyB_271,MediumRisk
C-124048 PartyA_260 PartyB_161,HighRisk
C-105770 PartyA_44 PartyB_46,MediumRisk
C-117654 PartyA_278 PartyB_188,MediumRisk
C-111945 PartyA_86 PartyB_18,MediumRisk
C-111937 PartyA_147 PartyB_65,HighRisk
C-110971 PartyA_16 PartyB_98,MediumRisk
C-115565 PartyA_265 PartyB_159,MediumRisk
C-120906 PartyA_173 PartyB_240,MediumRisk
C-108375 PartyA_78 PartyB_223,MediumRisk
C-116533 PartyA_123 PartyB_115,MediumRisk
C-101303 PartyA_49 PartyB_207,MediumRisk
C-116379 PartyA_54 PartyB_20,LowRisk
C-123707 PartyA_189 PartyB_300,MediumRisk
C-124780 PartyA_53 PartyB_147,MediumRisk
C-123619 PartyA_86 PartyB_158,HighRisk
C-118618 PartyA_131 PartyB_77,LowRisk
C-120333 PartyA_123 PartyB_38,MediumRisk
C-122242 PartyA_104 PartyB_152,HighRisk
C-106126 PartyA_239 PartyB_256,MediumRisk
C-101373 PartyA_30 PartyB_58,MediumRisk
